Date/Time,Demand,,,,
 03/01  01:00:00,0,1,302,9001,9001
 03/02  01:00:00,0,2,301,6570,6570
 03/03  01:00:00,0,3,300,7294,7294
 03/04  01:00:00,0,4,299,6358,6358
 03/05  01:00:00,0,5,298,8101,8101
 03/06  01:00:00,0,6,297,6455,6455
 03/07  01:00:00,0,7,296,5841,5841
 03/08  01:00:00,0,8,295,7403,7403
 03/09  01:00:00,0,9,294,7904,7904
 03/10  01:00:00,0,10,293,7378,7378
 03/11  01:00:00,0,11,292,7333,7333
 03/12  01:00:00,0,12,291,7500,7500
 03/13  01:00:00,0,13,290,8349,8349
 03/14  01:00:00,0,14,289,7470,7470
 03/15  01:00:00,0,15,288,9968,9968
 03/16  01:00:00,0,16,287,10178,10178
 03/17  01:00:00,0,17,286,12154,12154
 03/18  01:00:00,0,18,285,11546,11546
 03/19  01:00:00,0,19,284,10877,10877
 03/20  01:00:00,0,20,283,12367,12367
 03/21  01:00:00,0,21,282,11247,11247
 03/22  01:00:00,0,22,281,11090,11090
 03/23  01:00:00,36715,23,280,11374,11374
 03/24  01:00:00,37105,24,279,10245,10245
 03/25  01:00:00,50177,25,278,10995,10995
 03/26  01:00:00,61864,26,277,9821,9821
 03/27  01:00:00,64356,27,276,11957,11957
 03/28  01:00:00,69978,28,275,9579,9579
 03/29  01:00:00,92452,29,274,9529,9529
 03/30  01:00:00,109964,30,273,12427,12427
 03/31  01:00:00,99468,31,272,10535,10535
 04/01  01:00:00,122072,32,271,13465,13465
 04/02  01:00:00,94445,33,270,10391,10391
 04/03  01:00:00,103399,34,269,12312,12312
 04/04  01:00:00,110472,35,268,10514,10514
 04/05  01:00:00,128560,36,267,10821,10821
 04/06  01:00:00,129084,37,266,13386,13386
 04/07  01:00:00,158127,38,265,12244,12244
 04/08  01:00:00,151152,39,264,9505,9505
 04/09  01:00:00,135414,40,263,11853,11853
 04/10  01:00:00,138456,41,262,13037,13037
 04/11  01:00:00,134213,42,261,14354,14354
 04/12  01:00:00,146755,43,260,13128,13128
 04/13  01:00:00,128648,44,259,14752,14752
 04/14  01:00:00,133464,45,258,16894,16894
 04/15  01:00:00,125960,46,257,17263,17263
 04/16  01:00:00,110021,47,256,17434,17434
 04/17  01:00:00,117880,48,255,17499,17499
 04/18  01:00:00,114334,49,254,16816,16816
 04/19  01:00:00,125049,50,253,17920,17920
 04/20  01:00:00,129399,51,252,18703,18703
 04/21  01:00:00,121297,52,251,18129,18129
 04/22  01:00:00,104624,53,250,20245,20245
 04/23  01:00:00,113809,54,249,19618,19618
 04/24  01:00:00,96521,55,248,21721,21721
 04/25  01:00:00,96382,56,247,17077,17077
 04/26  01:00:00,100996,57,246,18842,18842
 04/27  01:00:00,91331,58,245,22120,22120
 04/28  01:00:00,89912,59,244,20389,20389
 04/29  01:00:00,98372,60,243,19111,19111
 04/30  01:00:00,95276,61,242,23378,23378
 05/01  01:00:00,88618,62,241,20537,20537
 05/02  01:00:00,77442,63,240,22176,22176
 05/03  01:00:00,92443,64,239,20551,20551
 05/04  01:00:00,91615,65,238,25247,25247
 05/05  01:00:00,74647,66,237,24697,24697
 05/06  01:00:00,78288,67,236,21366,21366
 05/07  01:00:00,75589,68,235,26358,26358
 05/08  01:00:00,70026,69,234,24677,24677
 05/09  01:00:00,57357,70,233,24226,24226
 05/10  01:00:00,75434,71,232,26545,26545
 05/11  01:00:00,74996,72,231,25954,25954
 05/12  01:00:00,63406,73,230,26461,26461
 05/13  01:00:00,70970,74,229,27384,27384
 05/14  01:00:00,66995,75,228,29826,29826
 05/15  01:00:00,65069,76,227,26916,26916
 05/16  01:00:00,60272,77,226,27444,27444
 05/17  01:00:00,63700,78,225,28021,28021
 05/18  01:00:00,55195,79,224,31264,31264
 05/19  01:00:00,60535,80,223,29665,29665
 05/20  01:00:00,58288,81,222,37524,37524
 05/21  01:00:00,56163,82,221,32911,32911
 05/22  01:00:00,54475,83,220,39249,39249
 05/23  01:00:00,60707,84,219,30054,30054
 05/24  01:00:00,55312,85,218,29163,29163
 05/25  01:00:00,58105,86,217,34889,34889
 05/26  01:00:00,53196,87,216,35239,35239
 05/27  01:00:00,50192,88,215,37539,37539
 05/28  01:00:00,49108,89,214,39357,39357
 05/29  01:00:00,40329,90,213,41144,41144
 05/30  01:00:00,42500,91,212,39253,39253
 05/31  01:00:00,40798,92,211,43067,43067
 06/01  01:00:00,46218,93,210,44565,44565
 06/02  01:00:00,42150,94,209,47332,47332
 06/03  01:00:00,41553,95,208,47482,47482
 06/04  01:00:00,39266,96,207,43253,43253
 06/05  01:00:00,39343,97,206,47494,47494
 06/06  01:00:00,34144,98,205,44005,44005
 06/07  01:00:00,35011,99,204,50626,50626
 06/08  01:00:00,33913,100,203,55119,55119
 06/09  01:00:00,36825,101,202,56057,56057
 06/10  01:00:00,29107,102,201,50426,50426
 06/11  01:00:00,30555,103,200,49695,49695
 06/12  01:00:00,28669,104,199,56952,56952
 06/13  01:00:00,28649,105,198,57320,57320
 06/14  01:00:00,27191,106,197,60279,60279
 06/15  01:00:00,30440,107,196,64097,64097
 06/16  01:00:00,29919,108,195,61931,61931
 06/17  01:00:00,27169,109,194,69600,69600
 06/18  01:00:00,27326,110,193,72537,72537
 06/19  01:00:00,29394,111,192,72439,72439
 06/20  01:00:00,25015,112,191,75074,75074
 06/21  01:00:00,28116,113,190,74297,74297
 06/22  01:00:00,25721,114,189,73979,73979
 06/23  01:00:00,24333,115,188,72503,72503
 06/24  01:00:00,26927,116,187,82309,82309
 06/25  01:00:00,25881,117,186,69168,69168
 06/26  01:00:00,31965,118,185,75570,75570
 06/27  01:00:00,29310,119,184,63460,63460
 06/28  01:00:00,31918,120,183,70307,70307
 06/29  01:00:00,32971,121,182,80166,80166
 06/30  01:00:00,35310,122,181,83482,83482
 07/01  01:00:00,30049,123,180,78821,78821
 07/02  01:00:00,37832,124,179,86988,86988
 07/03  01:00:00,39410,125,178,89887,89887
 07/04  01:00:00,41586,126,177,77302,77302
 07/05  01:00:00,36769,127,176,74161,74161
 07/06  01:00:00,39417,128,175,84719,84719
 07/07  01:00:00,45384,129,174,88202,88202
 07/08  01:00:00,43469,130,173,83360,83360
 07/09  01:00:00,55386,131,172,87952,87952
 07/10  01:00:00,49045,132,171,74268,74268
 07/11  01:00:00,51512,133,170,80529,80529
 07/12  01:00:00,49381,134,169,85677,85677
 07/13  01:00:00,54779,135,168,92495,92495
 07/14  01:00:00,65310,136,167,86311,86311
 07/15  01:00:00,66113,137,166,98500,98500
 07/16  01:00:00,56316,138,165,99182,99182
 07/17  01:00:00,51542,139,164,93165,93165
 07/18  01:00:00,61233,140,163,83902,83902
 07/19  01:00:00,66707,141,162,97190,97190
 07/20  01:00:00,64085,142,161,83787,83787
 07/21  01:00:00,65940,143,160,89004,89004
 07/22  01:00:00,70518,144,159,96121,96121
 07/23  01:00:00,78296,145,158,78372,78372
 07/24  01:00:00,75457,146,157,79121,79121
 07/25  01:00:00,65012,147,156,94078,94078
 07/26  01:00:00,71913,148,155,89875,89875
 07/27  01:00:00,74453,149,154,68640,68640
 07/28  01:00:00,83540,150,153,83433,83433
 07/29  01:00:00,86398,151,152,79786,79786
 07/30  01:00:00,79786,152,151,86398,86398
 07/31  01:00:00,83433,153,150,83540,83540
 08/01  01:00:00,68640,154,149,74453,74453
 08/02  01:00:00,89875,155,148,71913,71913
 08/03  01:00:00,94078,156,147,65012,65012
 08/04  01:00:00,79121,157,146,75457,75457
 08/05  01:00:00,78372,158,145,78296,78296
 08/06  01:00:00,96121,159,144,70518,70518
 08/07  01:00:00,89004,160,143,65940,65940
 08/08  01:00:00,83787,161,142,64085,64085
 08/09  01:00:00,97190,162,141,66707,66707
 08/10  01:00:00,83902,163,140,61233,61233
 08/11  01:00:00,93165,164,139,51542,51542
 08/12  01:00:00,99182,165,138,56316,56316
 08/13  01:00:00,98500,166,137,66113,66113
 08/14  01:00:00,86311,167,136,65310,65310
 08/15  01:00:00,92495,168,135,54779,54779
 08/16  01:00:00,85677,169,134,49381,49381
 08/17  01:00:00,80529,170,133,51512,51512
 08/18  01:00:00,74268,171,132,49045,49045
 08/19  01:00:00,87952,172,131,55386,55386
 08/20  01:00:00,83360,173,130,43469,43469
 08/21  01:00:00,88202,174,129,45384,45384
 08/22  01:00:00,84719,175,128,39417,39417
 08/23  01:00:00,74161,176,127,36769,36769
 08/24  01:00:00,77302,177,126,41586,41586
 08/25  01:00:00,89887,178,125,39410,39410
 08/26  01:00:00,86988,179,124,37832,37832
 08/27  01:00:00,78821,180,123,30049,30049
 08/28  01:00:00,83482,181,122,35310,35310
 08/29  01:00:00,80166,182,121,32971,32971
 08/30  01:00:00,70307,183,120,31918,31918
 08/31  01:00:00,63460,184,119,29310,29310
 09/01  01:00:00,75570,185,118,31965,31965
 09/02  01:00:00,69168,186,117,25881,25881
 09/03  01:00:00,82309,187,116,26927,26927
 09/04  01:00:00,72503,188,115,24333,24333
 09/05  01:00:00,73979,189,114,25721,25721
 09/06  01:00:00,74297,190,113,28116,28116
 09/07  01:00:00,75074,191,112,25015,25015
 09/08  01:00:00,72439,192,111,29394,29394
 09/09  01:00:00,72537,193,110,27326,27326
 09/10  01:00:00,69600,194,109,27169,27169
 09/11  01:00:00,61931,195,108,29919,29919
 09/12  01:00:00,64097,196,107,30440,30440
 09/13  01:00:00,60279,197,106,27191,27191
 09/14  01:00:00,57320,198,105,28649,28649
 09/15  01:00:00,56952,199,104,28669,28669
 09/16  01:00:00,49695,200,103,30555,30555
 09/17  01:00:00,50426,201,102,29107,29107
 09/18  01:00:00,56057,202,101,36825,36825
 09/19  01:00:00,55119,203,100,33913,33913
 09/20  01:00:00,50626,204,99,35011,35011
 09/21  01:00:00,44005,205,98,34144,34144
 09/22  01:00:00,47494,206,97,39343,39343
 09/23  01:00:00,43253,207,96,39266,39266
 09/24  01:00:00,47482,208,95,41553,41553
 09/25  01:00:00,47332,209,94,42150,42150
 09/26  01:00:00,44565,210,93,46218,46218
 09/27  01:00:00,43067,211,92,40798,40798
 09/28  01:00:00,39253,212,91,42500,42500
 09/29  01:00:00,41144,213,90,40329,40329
 09/30  01:00:00,39357,214,89,49108,49108
 10/01  01:00:00,37539,215,88,50192,50192
 10/02  01:00:00,35239,216,87,53196,53196
 10/03  01:00:00,34889,217,86,58105,58105
 10/04  01:00:00,29163,218,85,55312,55312
 10/05  01:00:00,30054,219,84,60707,60707
 10/06  01:00:00,39249,220,83,54475,54475
 10/07  01:00:00,32911,221,82,56163,56163
 10/08  01:00:00,37524,222,81,58288,58288
 10/09  01:00:00,29665,223,80,60535,60535
 10/10  01:00:00,31264,224,79,55195,55195
 10/11  01:00:00,28021,225,78,63700,63700
 10/12  01:00:00,27444,226,77,60272,60272
 10/13  01:00:00,26916,227,76,65069,65069
 10/14  01:00:00,29826,228,75,66995,66995
 10/15  01:00:00,27384,229,74,70970,70970
 10/16  01:00:00,26461,230,73,63406,63406
 10/17  01:00:00,25954,231,72,74996,74996
 10/18  01:00:00,26545,232,71,75434,75434
 10/19  01:00:00,24226,233,70,57357,57357
 10/20  01:00:00,24677,234,69,70026,70026
 10/21  01:00:00,26358,235,68,75589,75589
 10/22  01:00:00,21366,236,67,78288,78288
 10/23  01:00:00,24697,237,66,74647,74647
 10/24  01:00:00,25247,238,65,91615,91615
 10/25  01:00:00,20551,239,64,92443,92443
 10/26  01:00:00,22176,240,63,77442,77442
 10/27  01:00:00,20537,241,62,88618,88618
 10/28  01:00:00,23378,242,61,95276,95276
 10/29  01:00:00,19111,243,60,98372,98372
 10/30  01:00:00,20389,244,59,89912,89912
 10/31  01:00:00,22120,245,58,91331,91331
 11/01  01:00:00,18842,246,57,100996,100996
 11/02  01:00:00,17077,247,56,96382,96382
 11/03  01:00:00,21721,248,55,96521,96521
 11/04  01:00:00,19618,249,54,113809,113809
 11/05  01:00:00,20245,250,53,104624,104624
 11/06  01:00:00,18129,251,52,121297,121297
 11/07  01:00:00,18703,252,51,129399,129399
 11/08  01:00:00,17920,253,50,125049,125049
 11/09  01:00:00,16816,254,49,114334,114334
 11/10  01:00:00,17499,255,48,117880,117880
 11/11  01:00:00,17434,256,47,110021,110021
 11/12  01:00:00,17263,257,46,125960,125960
 11/13  01:00:00,16894,258,45,133464,133464
 11/14  01:00:00,14752,259,44,128648,128648
 11/15  01:00:00,13128,260,43,146755,146755
 11/16  01:00:00,14354,261,42,134213,134213
 11/17  01:00:00,13037,262,41,138456,138456
 11/18  01:00:00,11853,263,40,135414,135414
 11/19  01:00:00,9505,264,39,151152,151152
 11/20  01:00:00,12244,265,38,158127,158127
 11/21  01:00:00,13386,266,37,129084,129084
 11/22  01:00:00,10821,267,36,128560,128560
 11/23  01:00:00,10514,268,35,110472,110472
 11/24  01:00:00,12312,269,34,103399,103399
 11/25  01:00:00,10391,270,33,94445,94445
 11/26  01:00:00,13465,271,32,122072,122072
 11/27  01:00:00,10535,272,31,99468,99468
 11/28  01:00:00,12427,273,30,109964,109964
 11/29  01:00:00,9529,274,29,92452,92452
 11/30  01:00:00,9579,275,28,69978,69978
 12/01  01:00:00,11957,276,27,64356,64356
 12/02  01:00:00,9821,277,26,61864,61864
 12/03  01:00:00,10995,278,25,50177,50177
 12/04  01:00:00,10245,279,24,37105,37105
 12/05  01:00:00,11374,280,23,36715,36715
 12/06  01:00:00,11090,281,22,0,0
 12/07  01:00:00,11247,282,21,0,0
 12/08  01:00:00,12367,283,20,0,0
 12/09  01:00:00,10877,284,19,0,0
 12/10  01:00:00,11546,285,18,0,0
 12/11  01:00:00,12154,286,17,0,0
 12/12  01:00:00,10178,287,16,0,0
 12/13  01:00:00,9968,288,15,0,0
 12/14  01:00:00,7470,289,14,0,0
 12/15  01:00:00,8349,290,13,0,0
 12/16  01:00:00,7500,291,12,0,0
 12/17  01:00:00,7333,292,11,0,0
 12/18  01:00:00,7378,293,10,0,0
 12/19  01:00:00,7904,294,9,0,0
 12/20  01:00:00,7403,295,8,0,0
 12/21  01:00:00,5841,296,7,0,0
 12/22  01:00:00,6455,297,6,0,0
 12/23  01:00:00,8101,298,5,0,0
 12/24  01:00:00,6358,299,4,0,0
 12/25  01:00:00,7294,300,3,0,0
 12/26  01:00:00,6570,301,2,0,0
 12/27  01:00:00,9001,302,1,0,0
